Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),Seat Capacity,Female Supernumerary
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,3,1,6,0,3,0,12,0,43,54,0
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,4,1,8,0,3,0,14,0,50,63,0
Indian Institute  of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,3,0,1,0,1,0,1,0,2,0,8,10,0
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,1,6,1,11,0,5,0,18,1,71,89,0
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,7,0,9,1,5,0,17,1,68,85,0
Indian Institute  of Technology Delhi,"Design (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,1,2,0,2,0,1,0,4,0,16,20,0
Indian Institute  of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,3,1,1,0,2,0,0,0,1,0,8,10,0
Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,1,5,1,10,0,5,0,17,1,66,83,0
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,7,0,9,1,5,0,17,1,68,85,0
Indian Institute  of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,3,0,1,0,1,0,1,0,1,1,8,10,0
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,1,2,0,9,0,32,40,0
Indian Institute  of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,1,2,0,9,0,32,40,0
Indian Institute  of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,1,2,0,9,0,32,40,0
Indian Institute  of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,40,0
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,14,1,3,0,5,0,3,0,9,1,36,46,0
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,1,3,0,4,0,2,0,7,1,29,37,0
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,3,0,4,0,2,0,7,0,26,33,0
Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,40,0
Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,1,5,0,6,0,3,0,10,1,42,50,3
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,5,1,9,1,4,1,16,1,65,75,7
Indian Institute  of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,1,5,1,9,1,5,1,17,1,67,75,10
Indian Institute  of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,5,1,2,0,2,0,1,0,5,0,16,20,0
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,1,2,0,8,1,32,40,0
Indian Institute  of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,1,5,1,9,1,5,0,18,1,69,75,12
Indian Institute  of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,0,5,0,6,0,3,0,10,1,42,50,3
Indian Institute  of Technology Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16,20,0
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,8,1,4,0,14,1,57,65,5
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,29,2,7,0,10,1,6,0,19,1,75,88,5
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,8,1,4,0,14,1,57,66,4
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,1,13,1,7,0,23,2,93,100,15
Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,37,2,8,2,14,1,6,1,25,1,97,104,15
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,42,2,9,2,16,1,8,1,30,1,112,118,22
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,8,1,13,1,5,1,24,1,91,96,17
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,46,2,11,1,18,1,8,1,31,2,121,127,23
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,3,0,6,0,2,0,9,1,36,41,3
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,6,0,7,1,4,0,14,1,54,55,11
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,53,3,13,1,20,1,10,1,35,2,139,144,28
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,29,2,7,0,10,1,6,0,19,1,75,80,13
Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,3,8,1,11,0,6,2,23,1,91,95,18
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,2,6,0,9,1,5,0,17,1,65,71,9
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,2,6,0,8,1,4,0,14,1,58,63,9
Indian Institute  of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,4,0,6,0,3,0,10,1,40,50,0
Indian Institute  of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,6,0,2,0,9,1,37,45,0
Indian Institute  of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,18,1,5,0,7,0,3,0,12,1,47,59,0
Indian Institute  of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",All India,Gender-Neutral,15,1,4,0,6,0,3,0,10,1,40,49,0
Indian Institute  of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",All India,Gender-Neutral,22,1,6,0,7,1,4,0,14,1,56,69,0
Indian Institute  of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",All India,Gender-Neutral,16,1,4,0,6,0,3,0,10,1,41,52,0
Indian Institute  of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,6,0,2,0,9,1,37,45,0
Indian Institute  of Technology Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,37,3
Indian Institute  of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,0,2,1,5,0,2,1,10,0,36,37,8
Indian Institute  of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,0,5,0,6,1,4,0,12,1,48,49,11
Indian Institute  of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,27,3
Indian Institute  of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,5,1,24,27,3
Indian Institute  of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,5,1,24,26,4
Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,3,1,14,0,52,53,12
Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,7,1,4,0,14,0,52,53,12
Indian Institute  of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,2,1,3,1,2,0,8,0,28,29,6
Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,2,1,4,1,2,0,9,0,32,33,7
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,5,1,24,26,4
Indian Institute  of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,4,0,13,1,52,53,12
Indian Institute  of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,3,0,4,0,2,0,7,1,28,29,6
Indian Institute  of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,9,0,32,34,6
Indian Institute  of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,6,0,24,26,4
Indian Institute  of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,27,3
Indian Institute  of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,0,4,0,6,0,3,0,9,1,40,40,10
Indian Institute  of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,9,1,4,1,16,1,64,64,16
Indian Institute  of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,4,0,6,0,3,0,11,0,40,40,10
